Id,Status,Name,Description,Particpation,Location,Add,Tel,Org,Start,End,Cycle,Noncycle,Map,Px,Py,Travellinginfo,Parkinginfo,Charge,Remarks,Changetime
C2_397000000A_003274,2,尋找消失的旗尾線-文化路徑踏查,無,一般民眾,to see the official site,高雄市813左營區高鐵路105號,886-7-7995678,高雄市文化局,2020/9/26 00:00,2020/10/25 23:59,,,,120.30766,22.68714,,,,,2020/9/19 23:09
C2_397000000A_003276,2,廣藝劇場No.4 － 鄧麗君經典歌曲音樂劇《何日君再來》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/25 00:00,2020/9/27 23:59,,,,120.34221,22.62417,,,,,2020/9/20 23:04
C2_397000000A_003279,2,2020魅力高雄 乘風而騎,無,一般民眾,to see the official site,高雄市831大寮區光復路二段132號前棟1樓,886-7-7995678,高雄市政府觀光局,2020/9/21 00:00,2020/11/7 23:59,,,,120.34358,22.62962,,,,,2021/6/25 09:41
C2_397000000A_003280,2,海底市場 Undersea Market,無,一般民眾,to see the official site,高雄市803鹽埕區駁二大勇區C5當代館,886-7-7995678,高雄市政府文化局、駁二藝術特區,2020/9/5 00:00,2021/2/21 23:59,,,,120.2816,22.62001,,,,,2020/9/22 16:45
C2_397000000A_003301,2,2020【轉機：台灣】年度攝影展,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,高雄市政府,2020/10/2 00:00,2020/11/1 23:59,,,,120.2816,22.62001,,,,,2020/10/1 20:48
C2_397000000A_003303,2,時光港都 - 高雄港映像記憶特展,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,高雄市政府,2020/10/7 00:00,2020/11/8 23:59,,,,120.2816,22.62001,,,,,2020/10/6 15:16
C2_397000000A_003305,2,高美講堂《細說臺灣美術史》系列講座,無,一般民眾,to see the official site,高雄市804鼓山區美術館路80號,886-7-7995678,高雄市政府,2020/10/4 00:00,2020/11/1 23:59,,,,120.28655,22.6567,,,,,2020/10/1 20:50
C2_397000000A_003320,2,2020經典小鎮eye成功Fun Soul(放鬆)音樂會,無,一般民眾,to see the official site,臺東縣961成功鎮中山路176號,886-7-7995678,高雄市政府,2020/10/10 00:00,2020/10/10 23:59,,,,121.38087,23.10507,,,,,2020/10/8 17:42
C2_397000000A_003321,2,鋼琴巨星 丹尼爾‧特里福諾夫 巴哈經典,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,高雄市政府,2020/10/16 00:00,2020/10/16 22:00,,,,120.34221,22.62417,,,,,2020/10/8 10:05
C2_397000000A_003323,2,簧之狂響 - 簡文彬與高雄市國樂團音樂會,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,高雄市政府,2020/10/18 00:00,2020/10/18 17:00,,,,120.34221,22.62417,,,,,2020/10/8 10:06
C2_397000000A_003325,2,《撼動人聲》高雄市漢聲合唱團2020年度音樂會,無,一般民眾,to see the official site,高雄市830鳳山區光遠路161號,886-7-7995678,高雄市政府,2020/10/18 00:00,2020/10/18 23:59,,,,120.36344,22.62476,,,,,2020/10/8 17:56
C2_397000000A_003334,2,【時代說書人】老照片說高雄故事：一港二河三山│講者：董青藍,無,一般民眾,to see the official site,高雄市804鼓山區美術館路80號,886-7-7995678,高雄市政府,2020/10/16 00:00,2020/10/21 23:59,,,,120.28655,22.6567,,,,,2020/10/16 14:05
C2_397000000A_003336,2,鬥陣不廢工作坊｜別人的垃圾不是你的垃圾：膠礫岩袋海塑織星,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,高雄市政府,2020/10/16 00:00,2020/10/24 23:59,,,,120.2816,22.62001,,,,,2020/10/16 14:11
